player_id,name,last_name,gender,handedness,birth,height,nationality
5,KIM Gi Jung,KIM,Male,Right,1990-08-14,179,Korea
6,KIM Sa Rang,KIM,Male,Right,1989-08-22,178,Korea
7,LIU Yu Chen,LIU,Male,Right,1995-07-25,193,China
8,OU Xuan Yi,OU,Male,Right,1994-01-23,189,China
